,open_time,open,high,low,close,volume,close_time,c1,c2,c3,c4,c5
90,1616360400000,57760.47,57871.34,57653.28,57659.1,360.254352,1616362199999,20814366.57419855,36432,179.662848,10381250.74830663,0.0
91,1616362200000,57657.92,58098.99,57474.46,58087.79,1062.981527,1616363999999,61554964.05984831,52019,629.771178,36478708.65666798,0.0
92,1616364000000,58085.41,58113.0,57585.54,57782.09,887.360493,1616365799999,51330466.73348469,27473,408.973867,23661766.7042328,0.0
93,1616365800000,57782.09,57861.55,57530.82,57588.25,614.797715,1616367599999,35470133.19243907,22507,305.701939,17635605.53962227,0.0
94,1616367600000,57588.25,57789.25,57172.02,57452.47,923.648547,1616369399999,53056727.56150476,28083,480.367466,27596693.93580869,0.0
95,1616369400000,57452.46,57664.15,57128.89,57351.56,821.187599,1616371199999,47164917.17316785,24637,428.248753,24602573.59157526,0.0
96,1616371200000,57351.56,57449.47,57000.0,57089.23,1075.181591,1616372999999,61485366.09505951,34893,503.012935,28769204.34941192,0.0
97,1616373000000,57089.22,57267.39,56420.0,56590.76,1726.744676,1616374799999,98025861.25487481,45340,788.509634,44777679.63531897,0.0
98,1616374800000,56585.85,56735.0,56289.0,56486.89,1045.992465,1616376599999,59087976.57880687,31307,451.894178,25532470.93879486,0.0
99,1616376600000,56486.89,56714.8,56367.35,56623.19,831.902339,1616378399999,47058330.15924116,22589,440.411171,24913028.78604309,0.0
100,1616378400000,56623.2,57000.0,56418.55,56878.94,737.974064,1616380199999,41839885.5581477,23319,371.435142,21065041.83559949,0.0
101,1616380200000,56878.95,57034.96,56782.09,56969.85,607.898135,1616381999999,34592491.02487286,18087,283.085922,16108570.49616487,0.0
102,1616382000000,56969.84,57490.0,56969.84,57323.06,840.155606,1616383799999,48080481.48940906,25606,389.111143,22265518.60775896,0.0
103,1616383800000,57323.07,57647.89,57300.13,57563.63,780.564499,1616385599999,44834793.81466639,25115,399.295061,22937676.72837249,0.0
104,1616385600000,57564.17,57831.41,57388.07,57748.42,805.451809,1616387399999,46427895.05006583,24211,443.815374,25587147.99554481,0.0
105,1616387400000,57748.43,57820.0,57411.07,57615.8,637.148205,1616389199999,36691447.53218776,21197,306.385175,17644860.93001633,0.0
106,1616389200000,57615.8,57615.8,57315.22,57354.8,497.099349,1616390999999,28563554.30381732,17886,249.013789,14309110.71830776,0.0
107,1616391000000,57354.79,57780.1,57321.82,57597.39,692.991263,1616392799999,39890045.00942523,23052,382.29083,22007860.93307134,0.0
